id|source|sourceid|composerkey|title|genre|form|sourcetitle|performer
  4569 | 78rpm  | BrahmsChoralePreludeNo.8                                | BRAHMSJOHANNES       | Chorale Prelude No. 8                                                  | classical | 30              | BRAHMS: Chorale Prelude No. 8                                          | 
  4573 | 78rpm  | BrahmsSymphonyNo.3                                      | BRAHMSJOHANNES       | Symphony No. 3                                                         | classical | 30              | BRAHMS: Symphony No. 3                                                 | 
  2551 | 78rpm  | YsayePlaysBrahms                                        | BRAHMSJOHANNES       | Ysaye plays Brahms                                                     | classical | 30              | Ysaye plays Brahms                                                     | 
  1984 | 78rpm  | VrsAcoustics-74722-PhiladelphiaSymphonyOrchestra        | BRAHMSJOHANNES       | ?                                                                      | classical | 30              | VRS Acoustics - 74722 - Philadelphia Symphony Orchestra                | 
  4571 | 78rpm  | BrahmsSchicksalslied                                    | BRAHMSJOHANNES       | Schicksalslied                                                         | classical | 30              | BRAHMS: Schicksalslied                                                 | 
  1973 | 78rpm  | VrsAcoustics-74685-FlonzaleyQuartet                     | BRAHMSJOHANNES       | ?                                                                      | classical | 30              | VRS Acoustics - 74685 - Flonzaley Quartet                              | 
  4593 | 78rpm  | BrittenTheTurnOfTheScrew                                | BRITTENBENJAMIN      | The Turn of the Screw                                                  | classical | 30              | Britten: The Turn of the Screw                                         | 
  2864 | 78rpm  | ABirdInAGildedCage1900                                  | CAGEJOHN             | A Bird in a Gilded Cage                                                | classical | 30              | A Bird in a Gilded Cage (1900)                                         | 
  1798 | 78rpm  | VrsAcoustics-6448b-IgnaceJanPaderewski                  | CHOPINFRYDERYK       | ?                                                                      | classical | 30              | VRS Acoustics - 6448B - Ignace Jan Paderewski                          | 
  1957 | 78rpm  | VrsAcoustics-74623-AlfredCortot                         | CHOPINFRYDERYK       | ?                                                                      | classical | 30              | VRS Acoustics - 74623 - Alfred Cortot                                  | 
